Row Labels;7 Days to Die;AdVenture Capitalist;Age of Empires II HD Edition;APB Reloaded;ARK Survival Evolved;Arma 2 Operation Arrowhead;Arma 3;Assassin's Creed IV Black Flag;Baldur's Gate II Enhanced Edition;Battlefield Bad Company 2;BioShock Infinite;Borderlands;Borderlands 2;Call of Duty Black Ops;Call of Duty Black Ops - Multiplayer;Call of Duty Black Ops II - Multiplayer;Call of Duty Ghosts - Multiplayer;Call of Duty Modern Warfare 2;Call of Duty Modern Warfare 2 - Multiplayer;Call of Duty Modern Warfare 3;Call of Duty Modern Warfare 3 - Multiplayer;Chivalry Medieval Warfare;Clicker Heroes;Counter-Strike;Counter-Strike Condition Zero;Counter-Strike Global Offensive;Counter-Strike Source;Crusader Kings II;DARK SOULS II;Dark Souls Prepare to Die Edition;Day of Defeat Source;DayZ;DC Universe Online;Deus Ex Human Revolution;Don't Starve;Dota 2;Dungeon Defenders;Empire Total War;Euro Truck Simulator 2;Europa Universalis IV;Fallout 4;Fallout New Vegas;Far Cry 3;FINAL FANTASY XIV A Realm Reborn;Football Manager 2009;Football Manager 2010;Football Manager 2011;Football Manager 2012;Football Manager 2013;Football Manager 2014;Football Manager 2015;Garry's Mod;Grand Theft Auto IV;Grand Theft Auto V;H1Z1;Half-Life 2;Half-Life 2 Deathmatch;Just Cause 2;Kerbal Space Program;Killing Floor;Left 4 Dead;Left 4 Dead 2;Medieval II Total War;METAL GEAR SOLID V THE PHANTOM PAIN;Might & Magic Heroes VI;Mount & Blade Warband;Napoleon Total War;Neverwinter;Path of Exile;PAYDAY 2;PlanetSide 2;Portal 2;Rising Storm/Red Orchestra 2 Multiplayer;Robocraft;Rocket League;Rust;Saints Row The Third;Sid Meier's Civilization IV Beyond the Sword;Sid Meier's Civilization V;Space Engineers;Star Trek Online;Starbound;Stronghold Kingdoms;Team Fortress 2;Terraria;The Binding of Isaac;The Binding of Isaac Rebirth;The Elder Scrolls V Skyrim;The Witcher 3 Wild Hunt;Tom Clancy's Ghost Recon Phantoms - NA;Torchlight II;Total War ROME II - Emperor Edition;Total War SHOGUN 2;Trove;Unturned;War Thunder;Warframe;Warhammer 40,000 Dawn of War II;XCOM Enemy Unknown
948368;;;;;;;;;;;;;;;;;;;;;;;;5,2;;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
975449;;;;;;;;;;;;10,7;;;;;;;;;;;;0,1;;36;3,3;;;;4,1;;;32;;54;;30;;;;;0,8;;;;;;;;;0,3;;;;7,5;7,3;98;;10;158;212;;;;8,5;37;;;;;44;3,4;;;;4,2;;;;1,3;;;458;4,8;2,3;;43;;;5,9;;29;;;;;;41
976129;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
983600;;;;;;;;;;;;;;;;;;;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
994489;;;;;;;;;;;;;;;;;;;;;;;;1087;;290;;;;;;;;;;18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1072465;;;;;;;;;;;;;;;;;;;;;;;;12,7;9,8;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1129452;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1135775;;;;;;;;;;;;;;;;;;;;;;;;1,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1268792;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1364546;;;;;;;;;;;;;;;;;;;;;;;;553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1423371;;;;;;;;;;;;;;;;;;;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1612666;;;;;;;;;;;28;;;;;;;;;;;;;1,3;;11,9;;;;;;;;;;7,4;;;;;;14,4;;;;;;;;;;;2,5;;;;;;;;;5,8;;;;;;;;;;;;;;;;;19,1;;;;;;;;;;;;;;;;;;;;
1699101;;;;;;;;;;;;;;;;;;;;;;;;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1713646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834453;;;;;;;;;;;;;;;22;;;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1936551;;;;;;;;;;;;;15,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,1;;;;;;;;;;;;;;;;9,5;;;;;;;;7,1;;;;;;;;;;;;0,3;;;;;;1,6;;;;;;;;;;;;;18,5;
1950243;;;1,3;;;;2,6;;;40;;7,6;11;1,3;0,9;;;;;;;;;;;45;14,4;;;;;;;;;1,1;11,1;;;;;;;;;;;;;;;;;;;;;;;;27;49;;;;;;;;;;0,7;;0,4;6,3;;;;;;;;;27;;;;;;;;;;;;1,2;;;
2039434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;69;;;;;;;;;;;;;;;
2083767;;;;;;;;;;;;;0,6;;;;;;;;2,9;;11,1;2,1;;5;3,4;;;;;;;;;3,1;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,2;;;;13,1;;;;;;10,1;;;;0,1;;;;;;;;;42;;;1,5;;;;;;;;
2110581;;;;;;;;;;32;;;;;;;;1,2;5,2;;;1,2;;8,8;;140;30;;;;;;5,7;;;20;;;;;;;;;;;;;;;;;;;;0,3;2,1;;;;;;;;;;;;;;;12,7;;;;;;;;;;;;2,3;;;;1,3;;;;;;;;;;;
2184507;;;;;;;;;;;;;;;;;;;;;;;;5,2;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2259650;;;;;;;;;;9,2;12,2;103;223;;;195;;;;;;;;;;4,6;6,2;;;0,1;0,8;;;;;0,9;;;;;116;0,7;;;;;;;;;;;3;4,3;;;;;;3,8;91;505;;;;;;;;0,3;;21;;;;;9,8;;12;;;;;557;0,8;0,1;;1,2;;;;;;;;;;;
2428602;;;;;;;;;;;;;;;;;;;;;;;;1,4;;;;;;;;;;;;473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2531540;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2613043;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2643609;;;;;;;;;;55;;;;0,2;46;;0,9;0,1;87;3,1;2,3;;;286;;60;153;;;;;;;;;0,4;;;;;;;;;;;;;;;;3;;;;;0,6;;;;;2,3;;;;;;;;6,2;;13,4;;;;;;;;;;;;5,1;;;;;;;;;;;;1,8;;;
2753525;;;;;27;;;;;;;;;;;9,2;;;;;;2,5;;67;;176;99;;;1,6;2,4;;;;;132;;;;;;;0,7;;;;;;;;;19;18,3;154;152;13,2;;;1,2;0,6;;6,4;;26;;;;;;;4,1;10,5;;;17,3;18,2;;;;;;;;28;;;;;;;29;;;;;;32;;3
3054990;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3238976;;;;;;;;;;;;;;;;;;;;;;;;5,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3244702;;;;;;;;;;;;;;;;;;;;;;;;4,3;;63;1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3249166;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3347312;;;;;;;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3449240;;;;;;16,3;168;;;107;;;;0,4;47;;;;;;;;;;;74;142;;;2,6;;;;;10,1;;;;;;;;;;;;;;;;;;20;;17,4;;;0,7;;;53;43;;;;15,3;;;114;;;5,2;3,9;5,4;;;;;90;;;;;254;4,6;;;11,6;;;;;43;;;;;;
3450426;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3498717;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3527485;;;;;;;;;;;;;;;;;;;;;;;;6,6;;;;;;;;;;;;455;;;;;;;;;;;;;;;;3;;;;3,8;2,3;;;;;10,5;;;;;;;;;;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;
3663009;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3674653;;;;;;;;;;;;;;;;;;;;;;;;772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3747293;;;;;;;;;;;;;;;;;;;;;;;;;;;8,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3783783;;;;;;;;;;;;;;33;154;;;;;;;;;123;97;882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142;;;;;;;;;;;;;;;;;;;;2,5;;;;;;;;;10,5;;;;;;;;;;;;;;;
3897969;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3979930;;;;;;18,9;;;;;;;1,5;;;;;;;;;;;;;;0,3;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;3,1;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;
4064412;;;;;;;;;;;;;;;;;;;;;;;;1312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;;;;;;;;;;;;;;;
4156158;;;;;;;;;;;;;;;;;;;;;;;;9,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4325465;;;;;;;;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4485779;;;;;;;;;;;;;;;;;;;;;;;;1697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4595423;;;;;;;;;;;;;;;;;;;;;;;;4,8;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,8;;;;;;;;;;;;;;;
4603800;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4677023;;;;;;;;;;;;;;;;;;;;;;;;2,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4812175;;;;;;;;;;;;;;;;;;;;;;;;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4824107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;1,5;;;;;;273;;;;;;;;;;18,2;;;152;;;;;;;;;4,9;27;;;;;;;;;;;;;;
4834220;;;;;;;;;;;265;;427;7,3;;;;35;175;5,4;39;;;;;;7,6;;;;;;;;;474;;;;;19,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,9;;;;58;;;;329;;;;;;;
4877411;;;;;;;;;;;;;;;;;;;;;;;;38;238;;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4897767;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4986667;;;;;;;;;;;;;;;;;;;;;;;;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5217749;;;;;;;;;;;;;;;;;;;;;;;;10,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5220782;;;;;;;;;;;;;;11;39;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5232588;;;;;;;;;;;;;;;;;;;;;;;;6,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5270060;;;;;;;;;;2,9;;;;;;;;;;;;;;0,1;;;12,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9;;;;;;;;;;;;;;;
5307960;;;;;;;;;;;;;;;;;;;;;;;;4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5387470;;;;;;0,6;1055;;;;;;;;;;;;;;;;;3,4;;16,1;516;;;;0,5;4,3;;;;;;;;;;;;;;;;;;;;0,6;;9,3;;;;;;;;;4,1;;;;;;;0,4;;;242;;;;;;;;;;;3,3;;;;;;;;1,4;;;;1,4;;;
5600822;;;;;;;;;;;;;;;;;;;;;;;;;;;6,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5689496;;;;;;;;;;;;;;;;;;;;;;;;;;;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5759284;;;;;;;;;;;;;;;;;;;;;;;;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5860071;;;;;;;;;;24;;;;;;;;;;;;;;4,9;;;8,2;;;;;;;;;3,2;;;;;;;;;;;;;;;;;;;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5949488;;;;;;;;;;;;;;;;;;;;;;;228;;;;;;;;;;;;;3,5;;;;;;;;;;;;;;;;;;;;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5976642;;;;;;;;;;;;;;;;;;;;;;;;55;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,3;;;;;;;;;;;;;;;
5990132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1,5;;;;;;;;;;;;;;;;;;;;;;;6,1;;;;;;;;;;;;;;;;;
6144819;;;;;;0,9;;;;;;3,1;31;;;;;;;;;;;0,8;5,4;4,9;;;;;;;;;;;;;;;46;;;;;;;;;;;;;;;;;;;;;212;;;;;;;;1,6;;;;;;;;;;;;;;137;;;;59;;;;;;;;;;;
6252885;;;;;;;;;;;;;;;;;;;;;;;;4,8;4,2;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6439568;;;;;;;;;;;;;;;;;56;;;;;;;251;;9,5;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6656519;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6717871;;;;;;;;;;8,7;;19,7;86;;;;;;;;;;;;;;0,5;;;;0,3;;;1,2;;0,7;;;10,7;;;;;;;;;;;;;;;;;0,2;;;1,8;;0,9;1,9;;;;;;;;;4,3;18,5;;;22;;;;;;;;;;;;;5,4;;;2;;;;;;;0,3;
6928806;;;4,8;;;;;;;;37;;;;;;;;;;;;;;;4,6;7,3;;;;;;;;;702;;;;;;;;;;;;;;;;;1,4;;;;;;;;;4,6;;;;;;;;55;;;;;;;9,1;;;;;;;;;;;;;;;2,3;;;;;;;
6979578;;;;;;;;;;;;;;;;;;;;;;;;107;10,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7015471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;;;;;;;;;;;;;15,7;;;;;3,4;0,5;;;;;;;;;;46;;;;;;;328;;;;;;;;;113;;;;;;;;;;;
7020135;;;;;;;;;;;;;;;;;;;;;;;;27;19,7;;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7094039;;;;;;;;;;;;;;;;;;;;;;;;0,4;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7163917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8;;;;;;33;;;;;;;;;;;;;;;;;;;;;;8,5;;;;;;;;;;;;;;;
7203603;;;;;;;;;;;;;;;;;;14,3;71;;;44;;7;;449;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;;;;;262;;;;;;;;10,3;;;;;;;;;;;;;;;
7249363;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7273540;;;;;;;;;;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;463;;;
7418489;;;;;;;;;;;;;;;;;;;;;;;;111;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
